Maindomain;Subdomain;System;Businesslogic;Owned Datacategory;Owned Entity;Owned Attributes;Ownership-Exceptions;References;Remarks;Source
Businesssystems;Order;OM;Contract Reassignment;;;;;;;
Businesssystems;Order;OMI;;Dispatching Rules;;;;;;
Businesssystems;Order;OMI;;Order;;;;"Offer, Contract,
Customer, Shipping Item
";;
Businesssystems;Order;OM;;"Event 
(Future Process Invocation)";;;;;;
Businesssystems;Order;PSS-O;;Provisioning-Rules;;;;;;
Businesssystems;Order;PSS-O;;PSS-API-Services;;;;;;
Businesssystems;Product;ProMS;;"Offerspecific 
Pricecalculation-Data";"Basic Charges, 
Provisioning Charges
consumption Charges,
excepted Quantities
discounts, 
credit";;"data only used in one 
other domain";;;
Businesssystems;Product;ProMS;;"Technical Productconfiguration
- Model";;;"data only used in one 
other domain,
Configurationdata not relevant 
for Billing";;;
Businesssystems;Product;ProMS;;"Salesvariants (Campaign??),
Salesvariation";SAC;;"data only used in one 
other domain";;;
Businesssystems;Product;ProMS;;"Offer(component)specific-Accountinginformation 
relevant for SAP";;;"data only used in one 
other domain";;;
Businesssystems;Product;ProMS;;"Offercomponentspecific 
Billingrules";;;"data only used in one 
other domain";;;
Businesssystems;Product;ProMS;;Product specific Billingproperties. ;;Kind of Shipping,;"data only used in one 
other domain";;;
Businesssystems;Product;ProMS;;Offerchangepossibilities;;;"data only used in one 
other domain";;;
Businesssystems;Product;ProMS;Product Definition;;;;;;;
Businesssystems;Product;ProMS;Product History;;;;;;;
Businesssystems;Product;ProMS;Product Price Definition;;;;;;;
Businesssystems;Product;ProMS;Product Maintenance;;;;;;;
Businesssystems;Product;ProMS;Product Research ??;;;;;;;
Businesssystems;Product;ProMS;Product Service Definition;;;;;;;
Businesssystems;Product;ProMS;Product Article Configuration;;;;;;;
Businesssystems;Product;ProMS;Product Consistency;;;;;;;
Businesssystems;Sales;SaCos;;;;;;;;
Businesssystems;Sales;SaCos;;Sales Channel Rules;;;;;;
Businesssystems;Sales;Shop;Offer Evaluation;;;;;;;
Businesssystems;Sales;Shop;Entry of Order;;;;;;;
Businesssystems;Sales;Shop;Validation of Customer Data;;;;;;;
Businesssystems;Sales;Shop;Linking of POS Systems;;;;;;;
Businesssystems;Sales;Shop;Affiliate Trackbacks;;;;;;;
Businesssystems;Sales;Shop;Export to Web Analytics;;;;;;;
Businesssystems;Sales;Shop;;Cart;;;;;;
Businesssystems;Sales;Shop;;Special Offers;;;;;;
Businesssystems;Sales;Shop;;Product Dependencies;;;;;;
Businesssystems;Sales;Shop;;Website Content;;;;;;
Businesssystems;Sales;Shop;;Website Skins/Variants;;;;;;
